UID	Base_Price	Sakhalin_OPT
07014820-c8de-11e3-befc-000d88394cae	790.16	669.31
627c87e2-7b2e-11e7-b6a3-000d88394cae	1041.25	1176.00
627c87df-7b2e-11e7-b6a3-000d88394cae	330.79	365.90
ed2b048f-7b45-11e7-b6a3-000d88394cae	95.76	102.14
49b46584-fe18-11e2-9773-000d88394cae	286.79	323.90
627c87e5-7b2e-11e7-b6a3-000d88394cae	371.25	396.00
74738952-7781-11e5-96ec-000d88394cae	199.08	212.35
dd0fa6d4-26d3-11e6-8a91-000d88394cae	182.70	194.88
dd0fa6d0-26d3-11e6-8a91-000d88394cae	437.30	469.06
dd0fa6d2-26d3-11e6-8a91-000d88394cae	404.60	456.96
5fff6ff3-7678-11e7-b6a3-000d88394cae	257.04	290.30
a5459830-4a99-11e9-bdca-000d88394cae	327.32	270.34
a5459834-4a99-11e9-bdca-000d88394cae	312.97	353.47
a5459826-4a99-11e9-bdca-000d88394cae	166.32	177.41
a5459828-4a99-11e9-bdca-000d88394cae	217.98	232.51
ad63b6ca-b3ad-11e7-8343-000d88394cae	5624.64	5999.62
ed2b046c-7b45-11e7-b6a3-000d88394cae	412.93	466.38
ed2b046f-7b45-11e7-b6a3-000d88394cae	902.29	962.43
ed2b0472-7b45-11e7-b6a3-000d88394cae	907.97	1025.47
ed2b0480-7b45-11e7-b6a3-000d88394cae	63.18	67.39
ed2b0477-7b45-11e7-b6a3-000d88394cae	45.63	48.67
ed2b047a-7b45-11e7-b6a3-000d88394cae	54.40	57.60
ed2b047d-7b45-11e7-b6a3-000d88394cae	50.31	49.92
006ce99b-f1d4-11e8-b63c-000d88394cae	27.23	29.06
006ce99d-f1d4-11e8-b63c-000d88394cae	26.55	28.03
006ce99f-f1d4-11e8-b63c-000d88394cae	32.17	35.39
0034e888-7f9d-11ea-b113-000d88394cae	25.55	29.77
0034e88a-7f9d-11ea-b113-000d88394cae	25.26	24.07
bb703eea-5919-11ea-b113-000d88394cae	47873.70	54069.12
bb703ef1-5919-11ea-b113-000d88394cae	52805.40	59639.04
bb703ef4-5919-11ea-b113-000d88394cae	68545.70	77416.32
bb703ef7-5919-11ea-b113-000d88394cae	87475.20	98795.52
bb703eee-5919-11ea-b113-000d88394cae	120672.80	136289.28
bb703efa-5919-11ea-b113-000d88394cae	63455.90	71667.84
bb703efd-5919-11ea-b113-000d88394cae	71070.20	80267.52
bb703f00-5919-11ea-b113-000d88394cae	96595.70	109096.32
bb703f03-5919-11ea-b113-000d88394cae	47873.70	54069.12
38bc0a9a-5923-11ea-b113-000d88394cae	55108.90	62240.64
38bc0a9d-5923-11ea-b113-000d88394cae	70087.60	79157.76
38bc0aa0-5923-11ea-b113-000d88394cae	84614.10	95564.16
bb703f0a-5919-11ea-b113-000d88394cae	134764.10	152204.16
